,geoid_county,rise,U7B001_isolated
1259,22053,5,2018
1260,22053,6,2550
1261,22053,7,2759
1262,22053,8,3510
1263,22053,9,4120
1264,22053,10,5191
1265,22055,0,0
1266,22055,1,106
1267,22055,2,106
1268,22055,3,106
1269,22055,4,148
1270,22055,5,320
1271,22055,6,365
1272,22055,7,694
1273,22055,8,846
1274,22055,9,1331
1275,22055,10,1888
1276,22057,0,0
1277,22057,1,12602
1278,22057,2,19215
1279,22057,3,26379
1280,22057,4,30699
1281,22057,5,35925
1282,22057,6,42838
1283,22057,7,44011
1284,22057,8,46050
1285,22057,9,49674
1286,22057,10,56457
1287,22063,0,0
1288,22063,1,1653
1289,22063,2,2941
1290,22063,3,4491
1291,22063,4,5961
1292,22063,5,7089
1293,22063,6,8391
1294,22063,7,9747
1295,22063,8,10851
1296,22063,9,11786
1297,22063,10,12977
1298,22071,0,0
1299,22071,1,501
1300,22071,2,842
1301,22071,3,1034
1302,22071,4,554
1303,22071,5,535
1304,22071,6,524
1305,22071,7,524
1306,22071,8,524
1307,22071,9,524
1308,22071,10,524
1309,22075,0,0
1310,22075,1,367
1311,22075,2,243
1312,22075,3,796
1313,22075,4,658
1314,22075,5,788
1315,22075,6,845
1316,22075,7,912
1317,22075,8,912
1318,22075,9,1058
1319,22075,10,1018
1320,22077,0,0
1321,22077,1,0
1322,22077,2,0
1323,22077,3,0
1324,22077,4,0
1325,22077,5,0
1326,22077,6,11
1327,22077,7,11
1328,22077,8,20
1329,22077,9,20
1330,22077,10,20
1331,22087,0,0
1332,22087,1,230
1333,22087,2,278
1334,22087,3,270
1335,22087,4,278
1336,22087,5,259
1337,22087,6,257
1338,22087,7,257
1339,22087,8,257
1340,22087,9,257
1341,22087,10,257
1342,22089,0,0
1343,22089,1,10385
1344,22089,2,11581
1345,22089,3,17927
1346,22089,4,18074
1347,22089,5,19806
1348,22089,6,21682
1349,22089,7,23904
1350,22089,8,23984
1351,22089,9,25415
1352,22089,10,25382
1353,22093,0,0
1354,22093,1,456
1355,22093,2,2274
1356,22093,3,3266
1357,22093,4,4819
1358,22093,5,4727
1359,22093,6,6660
1360,22093,7,7432
1361,22093,8,8618
1362,22093,9,9589
1363,22093,10,11570
1364,22095,0,0
1365,22095,1,2783
1366,22095,2,3347
1367,22095,3,7527
1368,22095,4,14134
1369,22095,5,17802
1370,22095,6,22061
1371,22095,7,25450
1372,22095,8,28507
1373,22095,9,30839
1374,22095,10,32609
1375,22097,0,0
1376,22097,1,0
1377,22097,2,0
1378,22097,3,0
1379,22097,4,0
1380,22097,5,0
1381,22097,6,0
1382,22097,7,58
1383,22097,8,58
1384,22097,9,90
1385,22097,10,122
1386,22099,0,0
1387,22099,1,1349
1388,22099,2,1465
1389,22099,3,1885
1390,22099,4,2808
1391,22099,5,3228
1392,22099,6,3675
1393,22099,7,3843
1394,22099,8,5600
1395,22099,9,5529
1396,22099,10,8928
1397,22101,0,0
1398,22101,1,2072
1399,22101,2,3566
1400,22101,3,5894
1401,22101,4,7652
1402,22101,5,8683
1403,22101,6,10392
1404,22101,7,11257
1405,22101,8,11282
